name,category,description,price,rating,image,images,shipping
Brown eggs,dairy,Raw organic brown eggs in a basket,28.1,4,https://www.realmomnutrition.com/wp-content/uploads/Egg-Myths-2.jpg,"https://www.realmomnutrition.com/wp-content/uploads/Egg-Myths-2.jpg,https://5.imimg.com/data5/AP/DM/MY-53916205/co-puspam-eggs-500x500.jpg",TRUE
Sweet fresh stawberry,fruit,Sweet fresh stawberry on the wooden table,29.45,4,https://media.istockphoto.com/photos/fresh-strawberries-background-picture-id477834644?s=612x612,"https://media.istockphoto.com/photos/fresh-strawberries-background-picture-id477834644?s=612x612,https://media.istockphoto.com/photos/strawberries-isolated-on-white-background-with-clipping-path-picture-id1085723794?s=612x612",TRUE
Asparagus,vegetable,Asparagus with ham on the wooden table,18.95,3,https://www.simplyrecipes.com/thmb/bxBVxk7r2baJ5xLVpghINmEUKfA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2018__03__stovetop-asparagus-horiz-a-2000-4941e1a824ed4a4798f66fb54f8e04e6.jpg,"https://www.simplyrecipes.com/thmb/bxBVxk7r2baJ5xLVpghINmEUKfA=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2018__03__stovetop-asparagus-horiz-a-2000-4941e1a824ed4a4798f66fb54f8e04e6.jpg,https://realandvibrant.com/wp-content/uploads/2019/10/Instant-Pot-Asparagus-2.jpg",TRUE
Butter,dairy,"Butter is a dairy product made from the fat and protein components of milk or cream. It is a semi-solid emulsion at room temperature, consisting of approximately 80% 
butterfat. It is used at room temperature as a spread, melted as a condiment, and used as an ingredient in baking, sauce making, pan frying, and other cooking procedures. ",17.68,4,https://www.bestfoodfacts.org/wp-content/uploads/2018/03/bff-butter-1146x452-1024x404.png," https://www.bestfoodfacts.org/wp-content/uploads/2018/03/bff-butter-1146x452-1024x404.png,https://5.imimg.com/data5/AL/VI/MY-7968993/uthukuli-cow-butter-500x500.jpg",TRUE
Cheese,dairy,"Cheese is a dairy product, derived from milk and produced in wide ranges of flavors, textures and forms by coagulation of the milk protein casein. It comprises 
proteins and fat from milk, usually the milk of cows, buffalo, goats, or sheep. During production, the milk is usually acidified and the enzymes of rennet (or bacterial enzymes 
with similar activity) are added to cause the milk proteins (casein) to coagulate. The solids (curd) are separated from the liquid (whey) and pressed into final form.",17.11,2,https://www.bigbasket.com/media/uploads/p/l/104956_8-britannia-cheese-slice.jpg," https://www.bigbasket.com/media/uploads/p/l/104956_8-britannia-cheese-slice.jpg,https://www.bigbasket.com/media/uploads/p/l/104956-2_2-britannia-cheese-slice.jpg",TRUE
Curd,dairy,"Curd is obtained by coagulating milk in a sequential process called curdling. It can be a final dairy product or the first stage in cheesemaking. The coagulation 
can be caused by adding rennet or any edible acidic substance such as lemon juice or vinegar, and then allowing it to coagulate. The increased acidity causes the milk proteins 
(casein) to tangle into solid masses, or curds. Milk that has been left to sour (raw milk alone or pasteurized milk with added lactic acid bacteria) will also naturally produce curds,
and sour milk cheeses are produced this way.",11.14,4, https://www.bigbasket.com/media/uploads/p/l/40003162_2-milky-mist-curd-farm-fresh.jpg,"https://www.bigbasket.com/media/uploads/p/l/40003162_2-milky-mist-curd-farm-fresh.jpg,https://www.bigbasket.com/media/uploads/p/l/40003162-2_1-milky-mist-curd-farm-fresh.jpg",TRUE
Ghee,dairy,"Ghee is a class of clarified butter that originated in ancient India. It is commonly used in cuisine of the Indian subcontinent, Middle Eastern cuisine,South Asian cuisine, traditional medicine, and religious rituals. Ghee is made of butter, but modern vegetable shortening is sometimes called ""vegetable ghee"" and used for cooking, 
especially by vegans. Ghee is typically prepared by simmering butter, which is churned from cream ",18.19,2,https://www.bigbasket.com/media/uploads/p/l/252427_7-grb-ghee.jpg,"https://www.bigbasket.com/media/uploads/p/l/252427_7-grb-ghee.jpg,https://www.bigbasket.com/media/uploads/p/l/252427-2_6-grb-ghee.jpg",TRUE
Hazelnut in black ceramic bowl,vegetable,Hazelnut in black ceramic bowl on old wooden background. forest wealth. rustic style. selective focus,27.35,0,https://hazelnuts.com/wp-content/uploads/2019/01/Apr-23-2018-302_edited-852x675.jpg,"https://hazelnuts.com/wp-content/uploads/2019/01/Apr-23-2018-302_edited-852x675.jpg,https://scx2.b-cdn.net/gfx/news/hires/2018/hazelnuts.jpg",TRUE
Ice cream,dairy,"Ice cream (derived from earlier iced cream or cream ice)[1] is a sweetened frozen food typically eaten as a snack or dessert. It may be made from dairy milk or cream and is 
flavoured with a sweetener, either sugar or an alternative, and any spice, such as cocoa or vanilla. It can also be made by whisking a flavored cream base and liquid nitrogen together. 
Colorings are usually added, in addition to stabilizers. The mixture is stirred to incorporate air spaces and cooled below the freezing point of water to prevent detectable ice crystals 
from forming. The result is a smooth, semi-solid foam that is solid at very low temperatures (below 2 °C or 35 °F). It becomes more malleable as its temperature increases.",28.59,4,https://www.bigbasket.com/media/uploads/p/l/40005431_1-amul-real-ice-cream-butterscotch-bliss.jpg,"https://www.bigbasket.com/media/uploads/p/l/40005431_1-amul-real-ice-cream-butterscotch-bliss.jpg,https://www.bigbasket.com/media/uploads/p/l/40005431-2_1-amul-real-ice-cream-butterscotch-bliss.jpg",TRUE
Lemon,fruit,"Lemons (Citrus limon) are among the world's most popular citrus fruits. They grow on lemon trees and are a hybrid of the original citron and lime. There are many ways to enjoy lemons, but they taste very sour and are usually not eaten alone or as a whole fruit.",15.79,5,https://solidstarts.com/wp-content/uploads/Lemon_edited-480x320.jpg,"https://solidstarts.com/wp-content/uploads/Lemon_edited-480x320.jpg,https://www.liveeatlearn.com/wp-content/uploads/2017/05/lemon-photos-3-1025x1536.jpg",TRUE
Homemade bread,bakery,Homemade bread,17.48,3,https://www.bigbasket.com/media/uploads/p/l/70001171_6-english-oven-bread-milk.jpg,"https://www.bigbasket.com/media/uploads/p/l/70001171_6-english-oven-bread-milk.jpg,https://www.bigbasket.com/media/uploads/p/l/70001171-2_2-english-oven-bread-milk.jpg",TRUE
